title,description,url,date,domain,text
Daughter Duo is Dancing in The Same Company,There's a surprising twist to Regina Willoughby's last season with Columbia City Ballet: It's also her 18-year-old daughter Melina's first season with the company.,http://www.pointemagazine.com/mother-daughter-duo-dancing-2516681965.html,2017-12-11 20:19:05,www.pointemagazine.com,Daughter Duo is Dancing in The Same Company There's a surprising twist to Regina Willoughby's last season with Columbia City Ballet: It's also her 18-year-old daughter Melina's first season with the company.
New York City Ballet Announces Interim Leadership Team,NYCB has announced an interim leadership team to run the company during Peter Martin's leave of absence amidst sexual harassment accusations.,http://www.pointemagazine.com/nycb-interim-leadership-team-2516618703.html,2017-12-11 17:02:55,www.pointemagazine.com,New York City Ballet Announces Interim Leadership Team NYCB has announced an interim leadership team to run the company during Peter Martin's leave of absence amidst sexual harassment accusations.
Watch Pennsylvania Ballet & Boston Ballet Face Off for the Super Bowl,"The Philadelphia Eagles and the New England Patriots aren't the only teams bringing Super Bowl entertainment this week. To celebrate game day (and cheer on their region's respective teams), the dancers of Pennsylvania Ballet and Boston Ballet took a break from their usual rehearsals to perform some Super Bowl-themed choreography.",http://www.pointemagazine.com/watch-pennsylvania-ballet-boston-ballet-face-off-for-the-super-bowl-2530816257.html,2018-02-02 21:58:13,www.pointemagazine.com,"Watch Pennsylvania Ballet & Boston Ballet Face Off for the Super Bowl The Philadelphia Eagles and the New England Patriots aren't the only teams bringing Super Bowl entertainment this week. To celebrate game day (and cheer on their region's respective teams), the dancers of Pennsylvania Ballet and Boston Ballet took a break from their usual rehearsals to perform some Super Bowl-themed choreography."
dance shoes,"Looking for your next audition shoe? Shot at and in collaboration with Broadway Dance Center, Só Dança has launched a new collection of shoes working with some pretty famous faces of the musical theater world! Offered in two different styles and either 2.5"" or 3"" heels, top industry professionals ar...",https://www.pointemagazine.com/dance-shoes-2562960796.html,2018-04-24 19:00:11,www.pointemagazine.com,"dance shoes Looking for your next audition shoe? Shot at and in collaboration with Broadway Dance Center, Só Dança has launched a new collection of shoes working with some pretty famous faces of the musical theater world! Offered in two different styles and either 2.5"" or 3"" heels, top industry professionals ar..."
Rebecca Krohn on Her Retirement from New York City Ballet,"We interviewed New York City Ballet principal Rebecca Krohn on her company retirement, exciting new career as a ballet master, and her advice for young dancers.",http://www.pointemagazine.com/rebecca-krohn-retirement-nycb-2493308072.html,2017-10-06 14:44:51,www.pointemagazine.com,"Rebecca Krohn on Her Retirement from New York City Ballet We interviewed New York City Ballet principal Rebecca Krohn on her company retirement, exciting new career as a ballet master, and her advice for young dancers."
Roy Kaiser to Become Nevada Ballet Theatre's New Artistic Director,Former Pennsylvania Ballet dancer and director Roy Kaiser will take the helm at the Las Vegas-based Nevada Ballet Theatre as the company's artistic director.,http://www.pointemagazine.com/roy-kaiser-artistic-director-nevada-ballet-theatre-2493742773.html,2017-10-06 20:30:05,www.pointemagazine.com,Roy Kaiser to Become Nevada Ballet Theatre's New Artistic Director Former Pennsylvania Ballet dancer and director Roy Kaiser will take the helm at the Las Vegas-based Nevada Ballet Theatre as the company's artistic director.
What It's Like Inside NYCB After Peter Martins,"New York City Ballet continues its first year without Peter Martins at the helm as our spring season opens tonight.When he retired at the start of the new year, we plunged headfirst into unknown, murky waters. Who would the new director be? When would we know? Would we dancers get some say in the de...",https://www.pointemagazine.com/nycb-after-peter-martins-2562960808.html,2018-04-24 16:37:24,www.pointemagazine.com,"What It's Like Inside NYCB After Peter Martins New York City Ballet continues its first year without Peter Martins at the helm as our spring season opens tonight.When he retired at the start of the new year, we plunged headfirst into unknown, murky waters. Who would the new director be? When would we know? Would we dancers get some say in the de..."
Nutcracker Secrets and Surprises,"The iconic ballet's path from critical flop to holiday fixture. E.T.A. Hoffmann, a German writer, penned the eerie and dark tale ""Nutcracker and Mouse King"" in 1816.",http://www.pointemagazine.com/nutcracker-ballet-history-2515711657.html,2017-12-11 17:37:37,www.pointemagazine.com,"Nutcracker Secrets and Surprises The iconic ballet's path from critical flop to holiday fixture. E.T.A. Hoffmann, a German writer, penned the eerie and dark tale ""Nutcracker and Mouse King"" in 1816."
Inside the Beijing Dance Academy,"In one of 60 spacious dance studios at the Beijing Dance Academy, Pei Yu Meng practices a tricky step from Jorma Elo's Over Glow. She's standing among other students, but they all work alone, with the help of teachers calling out corrections from the front of the room. On top of her strong classical foundation and clean balletic lines, Pei Yu's slithery coordination and laser-sharp focus give her dancing a polished gleam. Once she's mastered the pirouette she's been struggling with, she repeats the step over and over until the clock reaches 12 pm for lunch. Here, every moment is a chance to approach perfection.",http://www.pointemagazine.com/inside-beijing-dance-academy-2549891019.html,2018-03-19 14:57:19,www.pointemagazine.com,"Inside the Beijing Dance Academy In one of 60 spacious dance studios at the Beijing Dance Academy, Pei Yu Meng practices a tricky step from Jorma Elo's Over Glow. She's standing among other students, but they all work alone, with the help of teachers calling out corrections from the front of the room. On top of her strong classical foundation and clean balletic lines, Pei Yu's slithery coordination and laser-sharp focus give her dancing a polished gleam. Once she's mastered the pirouette she's been struggling with, she repeats the step over and over until the clock reaches 12 pm for lunch. Here, every moment is a chance to approach perfection."
dance shoes,"Looking for your next audition shoe? Shot at and in collaboration with Broadway Dance Center, Só Dança has launched a new collection of shoes working with some pretty famous faces of the musical theater world! Offered in two different styles and either 2.5"" or 3"" heels, top industry professionals ar...",https://www.pointemagazine.com/so-danca-is-taking-musical-theatre-to-the-next-level-2562960796.html,2018-04-24 19:00:11,www.pointemagazine.com,"dance shoes Looking for your next audition shoe? Shot at and in collaboration with Broadway Dance Center, Só Dança has launched a new collection of shoes working with some pretty famous faces of the musical theater world! Offered in two different styles and either 2.5"" or 3"" heels, top industry professionals ar..."
Isabella Boylston and James Whiteside Get Hilariously Candid,"Though American Ballet Theatre principals James Whiteside and Isabella Boylston have long displayed their envy-worthy friendship on Instagram, this week the Cindies (their nickname for each other) offered viewers an even deeper glimpse into their world. While on tour with ABT at the Kennedy Center, the duo sat down in front of the camera to answer some questions from their fans via Facebook Live.",http://www.pointemagazine.com/isabella-boylston-james-whiteside-cindies-2530822663.html,2018-02-02 21:44:06,www.pointemagazine.com,"Isabella Boylston and James Whiteside Get Hilariously Candid Though American Ballet Theatre principals James Whiteside and Isabella Boylston have long displayed their envy-worthy friendship on Instagram, this week the Cindies (their nickname for each other) offered viewers an even deeper glimpse into their world. While on tour with ABT at the Kennedy Center, the duo sat down in front of the camera to answer some questions from their fans via Facebook Live."
Ballet Performances This Week,What's going on in ballet this week? We've pulled together some highlights.,http://www.pointemagazine.com/ballet-performances-this-week-2549913307.html,2018-03-19 20:00:43,www.pointemagazine.com,Ballet Performances This Week What's going on in ballet this week? We've pulled together some highlights.
"Guillaume Côté on NBoC's ""Frame by Frame""","This week marks the world premiere of Frame by Frame, The National Ballet of Canada's new full length ballet based on the life and work of innovative filmmaker Norman McLaren. While those outside of the cinephile community might not be familiar with McLaren's work, he is commonly credited with advancing film techniques including animation and pixilation in the 20th century—he died in 1987. The Canadian artist's many accolades include a 1952 Oscar for Best Documentary for his abstract short film Neighbours (watch the whole thing here). Later in life, McLaren became interested in ballet, and made a number of dance films including his renowned 1968 Pas de deux.",https://www.pointemagazine.com/guillaume-cote-frame-by-frame-2573694411.html,2018-05-30 21:05:57,www.pointemagazine.com,"Guillaume Côté on NBoC's ""Frame by Frame"" This week marks the world premiere of Frame by Frame, The National Ballet of Canada's new full length ballet based on the life and work of innovative filmmaker Norman McLaren. While those outside of the cinephile community might not be familiar with McLaren's work, he is commonly credited with advancing film techniques including animation and pixilation in the 20th century—he died in 1987. The Canadian artist's many accolades include a 1952 Oscar for Best Documentary for his abstract short film Neighbours (watch the whole thing here). Later in life, McLaren became interested in ballet, and made a number of dance films including his renowned 1968 Pas de deux."
"Broadway's ""Carousel"" Stars Some Familiar Ballet Faces","The Broadway revival of Richard Rogers and Oscar Hammerstein's Carousel opened last week, and while it stars luminaries from the worlds of musical theater (Joshua Henry, Jessie Mueller) and opera (soprano Renée Fleming), it also stars choreography by one of ballet's own heavy hitters: New York City Ballet soloist and resident choreographer Justin Peck, who shares top billing with the musical's director, Jack O'Brien.",https://www.pointemagazine.com/carousel-broadway-ballet-dancers-2562987882.html,2018-04-24 21:00:20,www.pointemagazine.com,"Broadway's ""Carousel"" Stars Some Familiar Ballet Faces The Broadway revival of Richard Rogers and Oscar Hammerstein's Carousel opened last week, and while it stars luminaries from the worlds of musical theater (Joshua Henry, Jessie Mueller) and opera (soprano Renée Fleming), it also stars choreography by one of ballet's own heavy hitters: New York City Ballet soloist and resident choreographer Justin Peck, who shares top billing with the musical's director, Jack O'Brien."
"The Joffrey Presents Ekman's ""Midsummer Night's Dream""","This spring, The Joffrey Ballet will present the North American premiere of Alexander Ekman's Midsummer Night's Dream. The Swedish choreographer is best known for his absurdist and cutting-edge productions. ""This is not Shakespeare's Midsummer,"" says Joffrey Ballet artistic director Ashley Wheater. The title of Ekman's version, which premiered with the Royal Swedish Ballet in 2015, refers not to Shakespeare but to Midsummer, the traditional Scandinavian summer solstice festival. The piece follows a young man through a day of revelry followed by a nightmare, blurring the line with reality. ""It's a kind of otherworldly dream,"" says Wheater.",https://www.pointemagazine.com/joffrey-ballet-midsummer-nights-dream-2562923405.html,2018-04-24 15:00:34,www.pointemagazine.com,"The Joffrey Presents Ekman's ""Midsummer Night's Dream"" This spring, The Joffrey Ballet will present the North American premiere of Alexander Ekman's Midsummer Night's Dream. The Swedish choreographer is best known for his absurdist and cutting-edge productions. ""This is not Shakespeare's Midsummer,"" says Joffrey Ballet artistic director Ashley Wheater. The title of Ekman's version, which premiered with the Royal Swedish Ballet in 2015, refers not to Shakespeare but to Midsummer, the traditional Scandinavian summer solstice festival. The piece follows a young man through a day of revelry followed by a nightmare, blurring the line with reality. ""It's a kind of otherworldly dream,"" says Wheater."
